idx;stop_epoch;window_length;n_filters;kernel_size;n_conv_layer;LSTM1_units;LSTM2_units;n_window;val_rmse;val_score;rmse_combined;score_combined;AIC;train_loss;mle_term;params_term;geno_list
0;17;2;4;2;2;240;200;29;14,03271961;1223,601318;14,17922943;1238,2523;1465098,149;150,3824005;79544,14906;1385554;"[2; 4; 2; 12; 10]"
0;14;2;2;2;1;240;180;29;14,04050255;1111,593994;14,16656715;1124,200454;1260646,013;193,2544861;83524,01337;1177122;"[2; 2; 1; 12; 9]"
0;20;2;4;2;1;260;220;29;14,04551029;1135,81543;14,21591272;1152,855672;1704024,263;160,9555664;80622,2634;1623402;"[2; 4; 1; 13; 11]"
0;15;4;3;4;1;280;140;27;14,06022453;1079,54187;14,21646079;1095,165496;1562362,584;201,8256683;84212,58398;1478150;"[4; 3; 1; 14; 7]"
0;15;3;3;3;1;340;180;28;14,060812;1074,966064;14,27123486;1096,008351;2104228,614;185,5982513;82882,61365;2021346;"[3; 3; 1; 17; 9]"
0;15;4;4;4;1;240;140;27;14,07180119;1002,184387;14,21216552;1016,22082;1403643,296;187,6528168;83057,29564;1320586;"[4; 4; 1; 12; 7]"
0;18;2;5;2;1;220;180;29;14,0967989;1167,237549;14,22632046;1180,189705;1295215,627;168,5481873;81353,6265;1213862;"[2; 5; 1; 11; 9]"
0;19;2;4;2;2;260;100;29;14,09771919;1190,408325;14,21281624;1201,91803;1150970,477;203,4077301;84336,47654;1066634;"[2; 4; 2; 13; 5]"
0;19;2;8;2;1;280;280;29;14,09887409;1190,023682;14,34575805;1214,712078;2468839,604;148,2505341;79317,60406;2389522;"[2; 8; 1; 14; 14]"
0;14;3;3;3;1;260;120;28;14,0997839;1048,544312;14,22550834;1061,116756;1257244,446;222,7591248;85778,44637;1171466;"[3; 3; 1; 13; 6]"
0;15;3;5;3;1;320;140;28;14,10059261;1106,810791;14,29659156;1126,410685;1959989,434;189,1982422;83187,43407;1876802;"[3; 5; 1; 16; 7]"
0;15;3;5;3;1;200;200;28;14,10263538;1098,831299;14,24076366;1112,644126;1381282,765;163,1873932;80840,76548;1300442;"[3; 5; 1; 10; 10]"
0;15;3;5;3;1;180;160;28;14,1064415;1142,279541;14,21474739;1153,11013;1083058,898;179,7761078;82376,89797;1000682;"[3; 5; 1; 9; 8]"
0;19;2;10;2;1;240;100;29;14,10776615;1118,182983;14,24370188;1131,776556;1359357,264;207,2743378;84635,26376;1274722;"[2; 10; 1; 12; 5]"
0;15;3;4;3;1;280;120;28;14,12628746;1137,910889;14,27388503;1152,670646;1475975,696;203,4746552;84341,69623;1391634;"[3; 4; 1; 14; 6]"
0;19;2;4;2;1;400;140;29;14,1264677;1165,012329;14,35960838;1188,326397;2331406,778;187,504837;83044,77826;2248362;"[2; 4; 1; 20; 7]"
0;19;2;8;2;1;240;240;29;14,12911224;1149,585205;14,31887599;1168,56158;1897637,459;152,0148163;79715,45879;1817922;"[2; 8; 1; 12; 12]"
0;19;2;8;2;1;240;240;29;14,12911224;1149,585205;14,31887599;1168,56158;1897637,459;152,0148163;79715,45879;1817922;"[2; 8; 1; 12; 12]"
0;15;2;4;2;1;220;100;29;14,15072918;1056,910522;14,24360587;1066,198192;928766,9212;213,7705688;85124,92116;843642;"[2; 4; 1; 11; 5]"
0;15;3;2;3;2;240;200;28;14,16139412;1077,801392;14,30267526;1091,929506;1412811,396;175,2178192;81969,39612;1330842;"[3; 2; 2; 12; 10]"
0;15;2;2;2;1;240;140;29;14,16186428;1032,081543;14,27005303;1042,900417;1081887,444;203,7794189;84365,444;997522;"[2; 2; 1; 12; 7]"
0;15;2;4;2;1;400;200;29;14,16567516;1214,317627;14,43423455;1241,173566;2685593,871;169,3813934;81431,87067;2604162;"[2; 4; 1; 20; 10]"
0;17;2;4;2;2;220;200;29;14,18273258;1307,509766;14,31691783;1320,928291;1341852,491;154,5558167;79978,49101;1261874;"[2; 4; 2; 11; 10]"
0;15;3;8;3;1;240;200;28;14,18534756;1180,776978;14,37494981;1199,737203;1896022,514;163,1436768;80836,51428;1815186;"[3; 8; 1; 12; 10]"
